Date_Text,Language,Post_Type,Publisher,Title,Category,Description,mediaType,Viewes,Reads,Likes,Comments,Shares
"January 3rd 2021, 14:45:00.145",English,news,Esamskriti,Maharaja Yeshwantrao Holkar I - The Forgotten General,History,"Yeshwantrao Holkar I was shrewd, brave and a tactician par excellence. This book extract tells how Holkar I forced the British Colonel Monson to surrender.",text,300,7,0,0,
"January 3rd 2021, 06:30:01.443",English,news,ORGANISER,"COVID-19 Vaccine Dry Run held across India: Dr Harsh Vardhan assures the Nation that safety, efficacy & immunogenicity of the vaccine shall never be compromised",Top Stories,"Ahead of the actual vaccination drive, the Ministry of Health & Family Welfare yesterday conducted a nationwide mock drill at 285 session sites to test the end-to-end planned operations and the mechanism that has been set up to ensure smooth conduct of the COVID19 vaccination that is expected to begin soon.",text,265,3,0,0,
"January 3rd 2021, 15:45:00.943",English,news,OP INDIA,"Delhi Hanuman Temple demolition: VHP blames CM Kejriwal, urges action against responsible officials, threatens agitation",,#NAME?,text,251,29,0,0,
"January 3rd 2021, 09:00:02.398",Hindi,news,Since Independence,"????? ?????? ??? ?? ?? ??????? ?? ????? ??, ??????? ??? ?? ???? ??? ???",Top Stories,"????? ????? ?  ????? ?????? ???-???? ??? ????? ??? ?? ???? ??????? ?? ????? ??? ?? ???????? ???? ?? ???? ???? ?? ?????? ???? ????? 40 ????? ?? ?????? ???? ???? ????? ????????? ??? ?? ????? ?? ??? ?? ????? ?? ?? ????? ?? ???? ???? ???? ???????? ?? ?????? ?????? ?? ?????? ?? ???? [?] The post ????? ?????? ??? ?? ?? ??????? ?? ????? ??, ??????? ??? ?? ???? ??? ??? appeared first on sinceindependence.",text,232,1,0,0,
"January 3rd 2021, 03:15:01.018",Hindi,news,Opindia Hindi,"???? ?? ??? ?? ?????? ?? ?? ????????? ?? ?????? ?????-?????? ?? ???, 40 ??? ?? ?? ??? ?? ????",Political & General News,"--- ???? ?? ??? ?? ?????? ?? ?? ????????? ?? ?????? ?????-?????? ?? ???, 40 ??? ?? ?? ??? ?? ???? ??? ?? ",text,218,4,1,0,
"January 3rd 2021, 15:45:00.550",Hindi,news,Uttam Hindu,?????? ?? ???? 2020 ??? 105 ????? ?????? ??? 22 ???? ????? ??????? ?? ???? ????????,,"January 03, 2021 ????????/????? ???: ????? ?? ?????? ????? ?? ?????? ?? ??? ???? ?????? ????? ????? (??????) ?? ???? 2020 ?? ????? 105 ????? ?????? ????????? ??? 22 ???? ????? ??????? ?? ???????? ???? ? ??? ?? ???? ?????? ??? ???? ?????? ? ????? ?????? ???? ?? ??? ???? ??",text,216,1,0,0,
"January 3rd 2021, 16:00:01.348",Hindi,news,Uttam Hindu,????? ??????? ?? ???? ??? ?????? ?? ??????? ?? ???? ?????? ,,"January 03, 2021 ?????/???????? ????:???? ??? ?????? ??  ??? ?? ??? ??????? ?? ???? ?? ????? ????? ?????? ???? ??????? ?????, ?????? ?? ?? ???? ??????? ?? ??????? ?? ??? ?????? ?? ????? ??????? ?? ??? ?? ?? ??? ???? ?? ????? ????? ????????? ?? ?????? ???? ??? ????? ?",text,203,0,0,0,
"January 3rd 2021, 14:15:01.368",English,news,Hindupost,Neutering Hindus : how the narrative and its builders make Hindus passive,Top Stories,"On 23 December 1926, Swami Shraddhanada of the Arya Samaj was killed by a Muslim assassin named Abdul Rashid. The reason was the same one that often leads to",text,201,8,1,0,
"January 3rd 2021, 15:30:01.326",Hindi,news,Uttam Hindu,"??????? ??? ?? ????, ????? ???????? ????",Sports,"January 03, 2021 ?? ??????,(????? ?????? ?????); ??????? ???? (99), ???? ????? (52), ????? ????? (50) ?? ?????? ????????? ?? ???????? ???? (4/19) ?? ????? ???????? ?? ????? ???????? ???? ?? ?????? ?????? ?? 183 ???? ?? ????? ?? ?????? ??????? ?? ?? ?? ????? ???????? ?????",text,201,0,0,0,
"January 3rd 2021, 15:30:00.366",English,news,Hindupost,Minor sisters rescued from human trafficker cum tailor Md. Jafar after 48 hours of confinement,Top Stories,"The girls, one of who was vomiting repeatedly due to mistreatment, was taken to hospital while the other narrated their ordeal to locals and police. They said",text,189,19,0,0,
